subjectedLane,uTurnVehicleType,opposingVehicleType,speed,distance,actualTime,delay
0,0,2,3.6,15.6,4.72,2.638334001
1,2,3,3.756,9.35,4.64,3.062232472
0,1,2,3.527,16.45,6.4,4.240365676
0,3,2,10.27,15.1,5.92,4.70743996
0,1,2,8.8,11.49,1.371,0.06531818182
0,1,2,8.4,21.77,4,1.408333333
0,2,2,8.4,21.77,4,1.408333333
0,1,2,6.7,35.6,2.53,0.2249115341
0,2,2,5.8,32.98,10.31,4.623793103
0,1,2,9.1,29.33,3.31,0.08692307692
0,1,3,3.01,8.83,6.97,4.036445183
0,1,2,4.7,28.45,7.51,1.456808511
0,2,2,5.2,19.5,5.5,1.75
0,1,2,16.7,30.91,3.962,2.111101796
0,2,2,16.7,30.91,3.962,2.111101796
0,2,2,5.8,19.04,12.92,9.637241379
0,2,2,5.8,19.04,12.92,9.637241379
0,2,2,6.3,12.4,3.16,1.191746032
0,2,2,5.6,17.78,13.72,10.545
0,1,2,5.4,15.01,2.8,0.02037037037
0,1,2,5.1,27.28,6.23,0.8809803922
1,1,3,6.7,11.2,4.07,2.398358209
0,2,3,6.7,11.2,4.07,2.398358209
0,1,1,4.808,19.55,5.297,1.230860233
1,2,1,5.236,12.42,2.711,0.338960275
0,2,2,6.2,28.43,5.32,0.734516129
0,2,3,5.5,16.59,2.76,1.023231842
0,2,2,5.2,42.4,13.68,5.526153846
0,0,2,5.2,42.4,13.68,5.526153846
0,2,3,7.2,20.44,5.36,2.521111111
0,2,2,8.8,3.71,0.52,0.09840909091
0,2,2,5.1,13.29,2.84,0.2341176471
0,2,3,8.5,31.93,8.6,4.843529412
0,1,3,8.5,31.93,8.6,4.843529412
0,3,2,6.5,18.74,4.68,1.796923077
0,1,2,6.5,18.74,4.68,1.796923077
0,1,2,5.4,14.64,5.68,2.968888889
0,2,2,5.4,14.64,5.68,2.968888889
0,2,3,7.1,9.19,1.4,0.1056338028
0,2,1,7.4,19.09,4.36,1.78027027
1,1,1,5.3,19.64,10.12,6.414339623
1,2,1,5.3,19.64,10.12,6.414339623
0,1,1,11.2,0.89,0.08,0.0005357142857
0,1,2,3,1.93,0.32,-0.3233333333
0,3,3,0.5,4.72,6.68,3.607541701
0,1,2,1.17,24.37,4.72,0.1561135171
0,2,1,2.735,24.4,3.12,0.1331305022
0,1,3,9.5,14.42,1.72,0.4879712922
0,2,2,2.59,24.5,4.36,1.284376574
0,0,2,9.2,18.35,2.32,0.9077092306
1,1,2,5.2,11.77,2.64,0.3765384615
0,1,1,7.62,20.85,3.24,0.5037795276
0,2,1,7.62,20.85,3.24,0.5037795276
1,2,2,9.809,51.7,5.547,0.276330207
0,1,2,8.126,47.55,8.842,2.990412503
0,3,2,8.126,47.55,8.842,2.990412503
0,1,2,4.2,3.8,3.2,2.295238095
0,2,2,4.2,3.8,3.2,2.295238095
0,2,1,8.5,17.84,3.32,1.221176471
0,1,3,4.574,5.14,2.688,1.564257105
0,2,3,4.574,5.14,2.688,1.564257105
0,1,1,0.74,10.97,10,6.149763082
0,2,1,0.74,10.97,10,6.149763082
0,2,2,3.594,22.88,9.28,2.913834168
0,1,2,2.38,15.81,2.887,0.309625921
0,2,3,1.43,19.15,5.939,2.279545342
1,2,1,11.4,31.41,2.995,0.2397368421
0,2,2,5.416,20.18,4.837,1.111002954
0,2,3,11.86,26.1,2.294,0.09332546374
1,1,3,9.762,46.49,5.088,0.325656218
1,2,2,16.03,39.83,2.586,0.1012838428
0,3,3,2.19,36.68,5.906,1.813463079
0,1,2,3.37,20.71,8.295,5.81600815
0,2,2,3.37,20.71,8.295,5.81600815
0,2,0,4.021,9.73,3.333,0.9132039294
0,1,1,5.813,7.3,3,1.744194048
0,2,2,4.166,6.06,4.049,2.594367259
0,1,2,9.041,56.4,6.465,0.2267520186
1,2,2,10.52,8.52,3.879,3.069114068
0,1,3,7.321,42.5,5.964,0.1587821336
0,2,1,7.361,19.47,3.211,0.5659789431
0,2,3,7.66,17.9,2.544,0.2071853786
1,2,2,2.06,11.66,3.31,0.9308837408
0,2,1,4.46,20.94,2.619,0.4521896104
1,2,1,2.379,13.166,8.098,2.563741908
1,2,1,7.66,17.9,2.544,0.2071853786
0,2,2,4.808,19.55,5.297,1.230860233
0,0,2,5.236,12.42,2.711,0.338960275
0,2,3,7.943,35.48,7.633,3.166173864
0,0,1,9.788,14.77,1.544,0.03500939926
0,1,2,4.902,8.34,1.394,-0.3073463892
0,1,2,6.79,21.85,4.016,0.7980324006
0,1,3,11.33,21.45,1.725,-0.1682038835
0,1,2,6.9,15.26,1.925,0.4378570335
0,2,3,7.226,29.36,12.147,8.083894547
0,1,2,7.074,13.81,1.527,-0.425219395
0,2,0,8.958,19.12,2.689,0.5545949989
0,0,0,8.958,19.12,2.689,0.5545949989
1,2,3,9.51,49.72,9.968,4.739819138
1,1,2,16.03,39.83,2.586,0.1012838428
0,1,2,2.086,3.958,6.506,4.608588686
0,2,1,3.01,8.83,6.97,4.036445183
0,0,2,8.2,39.87,4.52,2.314961424
0,2,0,15.52,21.56,1.759,0.3698247423
0,2,0,15.5,37.47,5.881,3.463580645
0,1,3,6.522,13.07,2.058,0.05401349279
1,2,3,5.556,10.8,4.447,2.503155508
0,2,3,9.9,20.91,2.34,0.2278787879
0,2,2,7.2,20.64,2.87,0.003333333333
0,1,2,5.901,20.37,6.439,2.987042705
1,2,1,2.81,36.936,4.348,0.7224677652
1,2,1,2.81,36.936,4.348,0.7224677652
0,2,1,5.3,14.45,4.05,1.323584906
0,1,2,5.531,16.835,3.921,0.87724661
0,2,2,7.735,47.8,6.507,0.3272973497
0,1,2,9.105,41.93,4.797,0.1918380011
0,2,3,5.416,20.18,4.837,1.111002954
0,2,2,4.657,15.96,8.825,5.397901009
0,0,2,4.657,15.96,8.825,5.397901009
1,1,2,4.195,8.74,4.645,2.561567342